Game_Id,Developer_ID,Publisher_ID,Genre_Id,Name,User_Score,Genre
126,314,97,10,Mario Party 10,8.8,Shooter
127,419,121,8,Until Dawn,8.6,Racing
128,354,119,2,The Order: 1886,9.4,Fighting
129,455,89,6,Forza Motorsport 6,9.4,Sports
130,44,124,3,Just Cause 3,7,Role-Playing
131,85,4,2,Destiny: The Taken King,8.1,Platform
132,427,145,3,Dying Light,7.5,Misc
133,482,42,2,Battlefield: Hardline,7.3,Shooter
134,460,139,2,Tom Clancy's Rainbow Six: Siege,9.5,Racing
135,183,119,3,Bloodborne,8.9,Action
136,310,97,9,Super Mario Maker,8.5,Shooter
137,151,42,1,Madden NFL 16,7.3,Action
138,407,89,2,Gears of War: Ultimate Edition,9.1,Shooter
139,462,139,3,Assassin's Creed Syndicate,7.2,Shooter
140,263,76,3,Metal Gear Solid V: The Phantom Pain,9.2,Action
141,483,130,1,NBA 2K16,9.5,Sports
142,372,145,3,Batman: Arkham Knight,8.5,Shooter
143,94,95,4,The Witcher 3: Wild Hunt,9.3,Action
144,310,97,2,Splatoon,7.4,Sports
145,12,89,2,Halo 5: Guardians,7.6,Action
146,79,119,3,Uncharted: The Nathan Drake Collection,8.1,Shooter
147,54,16,4,Fallout 4,8.2,Action
148,151,42,1,FIFA 16,7.2,Role-Playing
149,201,48,7,Farming Simulator 17,7.8,Action
150,113,124,8,Rise of the Tomb Raider,8.2,Platform
151,218,61,3,No Man's Sky,9.5,Role-Playing
152,183,95,4,Dark Souls III,7.6,Role-Playing
153,341,42,2,Plants vs. Zombies: Garden Warfare 2,7.8,Shooter
154,453,145,3,Lego Star Wars: The Force Awakens,8.4,Sports
155,453,145,3,LEGO Marvel's Avengers,8.3,Sports
156,364,42,2,Titanfall 2,8.2,Action
157,151,42,1,EA Sports UFC 2,9.5,Action
158,47,95,5,Pokken Tournament,8.5,Action
159,424,97,3,The Legend of Zelda: Twilight Princess HD,8.5,Sports
160,339,89,6,Forza Horizon 3,9.4,Fighting
161,460,139,3,Watch Dogs 2,7.9,Action
162,119,95,5,Naruto Shippuden: Ultimate Ninja Storm 4,8.6,Racing
163,430,89,2,Gears of War 4,7.5,Action
164,151,42,1,Madden NFL 17,8.4,Fighting
165,210,130,3,Mafia III,7.9,Action
166,483,130,1,NBA 2K17,7.1,Sports
167,71,4,2,Overwatch,7.7,Action
168,460,139,3,Far Cry: Primal,8,Shooter
169,283,139,2,Tom Clancy's The Division,9.5,Action
170,145,42,2,Battlefield 1,7.2,Shooter
171,230,4,2,Call of Duty: Infinite Warfare,9.5,Shooter
172,305,119,2,Uncharted 4: A Thief's End,8.4,Shooter
173,153,42,1,FIFA 17,7.3,Sports
